timestamp_ms,hash,chain_id,from,to,value,nonce,gas,gas_price,gas_tip_cap,gas_fee_cap,data_size,data_4bytes,sources,included_at_block_height,included_block_timestamp_ms,inclusion_delay_ms,tx_type
1752451200072,0x4f7a60ed1ef595a5ff23aabc6eb556677397a92304adeb098e8e2bcc799fb0f0,1,0xb0999731f7c2581844658a9d2ced1be0077b7397,0x2ff99ee6b22aedaefd8fd12497e504b18983cb14,10699350146342136466,712,195169,3624536034,3000000000,3624536034,772,0xb9e9a5ef,bloxroute chainbound local mempoolguru,22913695,1752451211000,10928,2
1752451200094,0x0e543b2715aeb174cc42e4e58bb1ef0ad19ca35d1a7b2fd79f2b051576adf5d5,1,0x455f42d91096c4aa708d7cbcb2dc499de89c402c,0xf015651bfb3434c8730a86d8261257f41c9a7e0b,65000000000000000000,6634,505000,200000000000,100000000000,200000000000,416,0xc00f4d35,chainbound bloxroute,0,0,0,2
1752451200111,0xc9ba8a627a9d8497061d47f29015f56e7f8fbc2a73b67f011756bb1b6d199d9c,1,0x963e0a30793de6c767c58eba591fc62c3580f21b,0x43618d55b73da832757b5d4888f57d32c366aaa3,0,13705,100000,20000000000,2000000000,20000000000,68,0x9d0f7cba,chainbound bloxroute,0,0,0,2
1752451200116,0x3f11ad64986c6ba4a966965566aba33a0101b80a763ed7630e0dd07b31fe9c43,1,0xecaa514ce7ddf6a2174630ee49320cff8ff47b44,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0,4286,1200000,515785480,515785480,515785480,260,0x8803dbee,bloxroute chainbound local mempoolguru,22913695,1752451211000,10884,2
1752451200306,0x00cd1f3b011da6891fe2d756619fc7c38fbe06dc8f6a3f1b95fcedfead2a1902,1,0xdf5d0695fe57cf2dfee3d3efc76f19e36ab73f7e,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,0,3,477780,1099594545,500000000,1099594545,1573,0x3593564c,chainbound bloxroute local mempoolguru,22913695,1752451211000,10694,2
1752451200306,0xb479fef047996176116c910f4042c1af583cafc2820563ee088dc1ea25979d65,1,0x79118d9f02269105b64dcae92b96404d913b2be3,0xbcd3ccce150e0f2a91e7505a07bb9b4da50f04e0,0,2621,30000000,20000000000,2000000000,20000000000,68,0xfed72935,chainbound bloxroute,0,0,0,2
1752451200312,0xd45d646c25dded20d25ef3d97142fc50cda5a15fdb29f699b8a264711f7fed9f,1,0x6cad20ff74950d791b7051e7b059aee050cd6232,0x43618d55b73da832757b5d4888f57d32c366aaa3,0,13705,100000,20000000000,2000000000,20000000000,68,0x9d0f7cba,chainbound bloxroute,0,0,0,2
1752451200436,0x84594cfc28cf3a6c5ef4753648b12ac196cfbe3b84f6f8265ff28a6d327ba385,1,0x1168610fdaa466c2ed300e0642c01f0c42a567da,0x1aaa3d9f104117f06ed815cecc9ef0c6a831c67f,0,409,59817,4688958910,1000000000,4688958910,68,0xee174ae6,chainbound bloxroute local mempoolguru,22913695,1752451211000,10564,2
1752451200508,0x14f2cdac710c7181f6b21225023b95d911628dcfb4203002bce86e85f14111f9,1,0x4a25df8c65d00b11d26f726f4eeeba34597e3e3e,0x43618d55b73da832757b5d4888f57d32c366aaa3,0,13705,100000,20000000000,2000000000,20000000000,68,0x9d0f7cba,chainbound bloxroute,0,0,0,2
1752451200546,0x71d36d339f431db50bc8ac3f0f91d6339a1833debbaaab35e2abc8a825a5d987,1,0x199dacd6a07c4937e33813f2fd9e921e4250b6c7,0xb90b2a35c65dbc466b04240097ca756ad2005295,0,813,52226,652624455,100000000,652624455,68,0x095ea7b3,bloxroute chainbound local mempoolguru,22913695,1752451211000,10454,2
